,dimension,grid,relax,alpha
0,1,40,cl nco,-3.912(42)
0,1,40,op co,-1.9356(64)
0,2,20,cl nco,-1.943(22)
0,2,20,op co,-1.752(27)
0,2,20,op nco,-1.906(73)
0,2,40,cl nco,-1.857(51)
0,2,40,op co,-1.745(32)
0,2,40,op nco,-1.88(16)
0,2,100,cl nco,-1.87(17)
0,3,20,cl nco,-1.8528(87)
0,3,20,op co,-1.779(15)
0,3,20,op nco,-1.878(44)
0,4,15,cl nco,-1.812(71)
0,4,15,op nco,-1.871(77)
0,4,25,cl nco,-1.909(13)
0,4,25,op nco,-1.917(16)
0,5,10,cl nco,-1.902(20)
0,5,10,op nco,-1.889(34)
0,6,10,cl nco,-1.599(12)
0,6,10,op nco,-1.919(15)
