dimension,grid,relax,tau,alpha,lambda,gamma1,1/gamma1,gamma2,1/gamma2,gamma3,1/gamma3
1,40,cl nco,1.16(35),0.00329(81),0.132(41),1.48(37),0.901(47),1.47(24),1.217(65),0.873(83),1.17(11)
1,40,op co,1.000002(40),1.000002(40),1.000005(30),1.0000000000009(99),1.0000000000009(99),0.80(12),1.34(25),0.80(11),1.34(26)
2,10,cl nco,2.036(22),1.949(33),1.75(40),1.36(11),0.737(70),1.33(19),0.692(61),0.914(44),0.964(54)
2,10,op co,2.1930(45),2.177(15),1.94(42),1.282(74),0.678(16),1.16(18),0.873(28),1.006(54),1.026(50)
2,10,op nco,1.9289(98),1.8151(92),1.31(29),1.37(11),0.682(11),1.82(65),0.678(60),0.940(68),0.975(23)
2,20,cl nco,2.0687(60),1.944(12),1.60(36),1.4903(55),0.6708(33),1.45(19),0.581(27),1.097(44),0.94(11)
2,20,op co,2.36(14),2.293(83),1.97(39),1.448(11),0.675(12),1.43(29),0.64(12),1.03(11),1.012(46)
2,20,op nco,1.9527(72),1.852(13),1.58(35),1.5257(38),0.709(43),1.639(63),0.576(47),1.07(15),0.922(96)
2,40,cl nco,2.010(10),2.04(14),1.795(54),1.5716(26),0.689(34),1.862(40),0.535(34),1.188(25),0.87(10)
2,40,op co,2.381(78),2.229(39),2.15(15),1.485(19),0.674(21),1.68(10),0.521(20),1.134(65),0.834(39)
2,40,op nco,2.03516(59),1.9767(62),1.735(89),1.5865(11),0.6512(12),1.923(37),0.515(36),1.20(26),0.816(37)
2,100,cl nco,2.112(25),2.090(24),1.865(33),1.6243(13),0.6327(69),2.1523(85),0.494(11),1.200(65),0.828(21)
3,10,cl nco,2.523(99),2.665(34),2.17(37),1.43(15),0.629(30),1.75(11),0.484(30),1.190(43),0.786(18)
3,10,op co,2.6125(62),2.751(77),2.15(45),1.5446(54),0.649(45),1.63(22),0.497(61),1.184(55),0.718(58)
3,10,op nco,2.255(25),2.357(21),1.90(42),1.579(22),0.633(27),1.77(37),0.463(46),1.279(72),0.727(56)
3,20,cl nco,2.410(22),2.562(61),2.53(18),1.6646(33),0.604(33),2.10(36),0.45(11),1.186(45),0.719(46)
3,20,op co,2.5157(95),2.723(71),2.53(37),1.6278(24),0.605(17),1.94(38),0.467(76),1.29(10),0.741(69)
3,20,op nco,2.3223(12),2.416(17),2.138(76),1.7121(31),0.5811(94),2.20(28),0.393(61),1.31(11),0.713(85)
4,15,cl nco,2.622(18),2.728(59),2.78(57),1.6999(45),0.567(35),2.48(43),0.343(65),1.43(13),0.604(33)
4,15,op nco,2.5237(20),2.668(49),2.50(35),1.7544(34),0.564(16),2.76(27),0.278(36),1.54(22),0.597(42)
4,25,cl nco,3.955(25),3.00(31),2.52(30),1.81483(74),0.524(14),3.012(41),0.185(66),1.570(80),0.691(54)
4,25,op nco,2.6285(29),2.74(17),2.41(26),1.8619(14),0.538(12),3.109(57),0.205(56),1.605(94),0.691(54)
5,10,cl nco,2.718(31),2.84(17),2.77(65),1.7660(45),0.556(21),2.84(65),0.47(24),1.72(34),0.69(17)
5,10,op nco,2.7047(52),2.85(17),2.67(55),1.7455(44),0.571(35),2.73(45),0.320(95),1.65(23),0.604(65)
5,15,cl nco,2.81(11),2.83(19),3.03(59),1.7230(49),0.544(15),2.61(36),0.334(69),1.52(15),0.618(67)
6,10,cl nco,2.771(58),2.96(16),2.64(36),1.6786(39),0.658(79),2.49(22),0.364(60),1.421(37),0.588(55)
6,10,op nco,2.731(60),3.03(23),2.99(39),1.786(23),0.535(12),2.74(73),0.199(33),1.62(16),0.575(73)
